Source,Target,property,Date
gnd_124700470,K10plus_237048752,owner,"1701, 1707"
gnd_118621793,K10plus_237048752,creator,1720
beacon_ddb,gnd_118621793,contains,2021
beacon_apd,gnd_118621793,contains,2021
beacon_wkp,gnd_118621793,contains,2021
beacon_sandrart,gnd_118621793,contains,2021
beacon_kall,gnd_118621793,contains,2021
beacon_berlin1800,gnd_118621793,contains,2021
beacon_humbdig,gnd_118621793,contains,2021
beacon_dpi,gnd_118621793,contains,2021
beacon_vkk,gnd_118621793,contains,2021
beacon_gpd,gnd_118621793,contains,2021
beacon_vd16,gnd_118621793,contains,2021
beacon_ecod,gnd_118621793,contains,2021
gnd_118725785,K10plus_237048752,creator,1720
beacon_ddb,gnd_118725785,contains,2021
beacon_apd,gnd_118725785,contains,2021
beacon_wkp,gnd_118725785,contains,2021
beacon_kall,gnd_118725785,contains,2021
beacon_dpi,gnd_118725785,contains,2021
beacon_vkk,gnd_118725785,contains,2021
gnd_11900478X,K10plus_237048752,contributor,1720
beacon_ddb,gnd_11900478X,contains,2021
beacon_apd,gnd_11900478X,contains,2021
beacon_wkp,gnd_11900478X,contains,2021
beacon_kall,gnd_11900478X,contains,2021
beacon_dpi,gnd_11900478X,contains,2021
Wetstein,K10plus_237048752,publisher,1720
Amsterdam,K10plus_237048752,place,1720
gnd_124700470,VD18_14376083,owner,"1701, 1707"
[S.l.],VD18_14376083,place,1712
Streitschrift:jur.,VD18_14376083,subject,1712
gnd_124700470,K10plus_595406939,owner,"1701, 1707"
"Montfort, Louis",K10plus_595406939,creator,1712
Roger,K10plus_595406939,publisher,1712
Amsterdam,K10plus_595406939,place,1712
gnd_124700470,K10plus_250753391,owner,"1701, 1707"
gnd_117702269,K10plus_250753391,contributor,1712
beacon_ddb,gnd_117702269,contains,2021
beacon_wkp,gnd_117702269,contains,2021
beacon_kall,gnd_117702269,contains,2021
Coup,K10plus_250753391,publisher,1712
Amsterdam,K10plus_250753391,place,1712
gnd_124700470,K10plus_250752980,owner,"1701, 1707"
gnd_117702269,K10plus_250752980,contributor,1712
beacon_ddb,gnd_117702269,contains,2021
beacon_wkp,gnd_117702269,contains,2021
beacon_kall,gnd_117702269,contains,2021
Coup,K10plus_250752980,publisher,1712
Amsterdam,K10plus_250752980,place,1712
gnd_124700470,K10plus_23610506X,owner,"1701, 1707"
gnd_121889556,K10plus_23610506X,creator,1712
beacon_ddb,gnd_121889556,contains,2021
beacon_dpi,gnd_121889556,contains,2021
gnd_128597771,K10plus_23610506X,contributor,1712
beacon_ddb,gnd_128597771,contains,2021
beacon_jdg,gnd_128597771,contains,2021
Haak,K10plus_23610506X,publisher,1712
Leide,K10plus_23610506X,place,1712
gnd_124700470,K10plus_150965478,owner,"1701, 1707"
Scheltus,K10plus_150965478,publisher,1712
[s'Gravenhage],K10plus_150965478,place,1712
gnd_124700470,VD18_10221069-004,owner,"1701, 1707"
gnd_1055513329,VD18_10221069-004,creator,1712
beacon_kall,gnd_1055513329,contains,2021
Cölln,VD18_10221069-004,place,1712
gnd_124700470,K10plus_150381794,owner,"1701, 1707"
gnd_1055323457,K10plus_150381794,creator,1712
beacon_ddb,gnd_1055323457,contains,2021
Roger,K10plus_150381794,publisher,1712
Amsterdam,K10plus_150381794,place,1712
gnd_124700470,K10plus_14765842X,owner,"1701, 1707"
gnd_1055469648,K10plus_14765842X,creator,1712
Londres,K10plus_14765842X,place,1712
gnd_124700470,VD18_11405236-001,owner,"1701, 1707"
gnd_117014931,VD18_11405236-001,creator,1712
beacon_ddb,gnd_117014931,contains,2021
beacon_wkp,gnd_117014931,contains,2021
beacon_db,gnd_117014931,contains,2021
beacon_kall,gnd_117014931,contains,2021
beacon_dta,gnd_117014931,contains,2021
beacon_cors,gnd_117014931,contains,2021
Gleditsch,VD18_11405236-001,publisher,1712
Weidmann,VD18_11405236-001,publisher,1712
Leipzig,VD18_11405236-001,place,1712
Leipzig,VD18_11405236-001,place,1712
gnd_124700470,K10plus_829182470,owner,"1701, 1707"
gnd_120538253,K10plus_829182470,creator,1711
beacon_ddb,gnd_120538253,contains,2021
beacon_wkp,gnd_120538253,contains,2021
beacon_hls,gnd_120538253,contains,2021
beacon_jen,gnd_120538253,contains,2021
beacon_kall,gnd_120538253,contains,2021
beacon_dpi,gnd_120538253,contains,2021
beacon_vkk,gnd_120538253,contains,2021
Acher,K10plus_829182470,publisher,1711
Rotterdam,K10plus_829182470,place,1711
gnd_124700470,K10plus_360588395,owner,"1701, 1707"
gnd_119080370,K10plus_360588395,creator,1711
beacon_ddb,gnd_119080370,contains,2021
Kinkius,K10plus_360588395,publisher,1711
Cologne,K10plus_360588395,place,1711
gnd_124700470,K10plus_243633238,owner,"1701, 1707"
