ID,Label,Type
gnd_124700470,"Ludwig Rudolph von Braunschweig-Wolfenbüttel",Person
beacon_ddb,"Deutsche Digitale Bibliothek",Personendatenbank
beacon_apd,"Archivportal D",Personendatenbank
beacon_wkp,Wikipedia,Personendatenbank
beacon_db,"Deutsche Biographie",Personendatenbank
beacon_dbi,"Dizionario Biografico degli Italiani",Personendatenbank
beacon_hls,"Historisches Lexikon der Schweiz",Personendatenbank
beacon_blko,"Biographisches Lexikon des Kaiserthums Oesterreich",Personendatenbank
beacon_blgs,"Biographisches Lexikon zur Geschichte Südosteuropas",Personendatenbank
beacon_phoh,"Personendatenbank der Höflinge der österreichischen Habsburger",Personendatenbank
beacon_pbbl,"Personen in bayrischen historischen biographischen Lexika",Personendatenbank
beacon_bwbio,"Biografische Sammelwerke Baden-Württemberg",Personendatenbank
beacon_hbio,"Hessische Biografie",Personendatenbank
beacon_rpbio,"Rheinland-Pfälzische Personendatenbank",Personendatenbank
beacon_saebi,"Sächsische Biographie",Personendatenbank
beacon_wfg,"Westfälische Geschichte",Personendatenbank
beacon_fpl,"Frankfurter Personenlexikon",Personendatenbank
beacon_gqdm,"Geschichtsquellen des deutschen Mittelalters",Personendatenbank
beacon_trithemius,"Trithemius: De scriptoribus ecclesiasticis",Personendatenbank
beacon_fabricius,"Fabricius: Bibliotheca latina",Personendatenbank
beacon_mav,"Melchior Adam: Vitae",Personendatenbank
beacon_jen,"Jewish Encyclopedia 1906",Personendatenbank
beacon_dpr,"Digitales Portal der Rabbiner",Personendatenbank
beacon_bdjg,"Bibliografie deutsch-jüdische Geschichte Nordrhein-Westfalen",Personendatenbank
beacon_gspd,"Germania Sacra Personendatenbank",Personendatenbank
beacon_biocist,"Biographia Cisterciensis",Personendatenbank
beacon_hpk,"Hamburger Professorinnen- und Professorenkatalog",Personendatenbank
beacon_cph,"Helmstedter Professorenkatalog",Personendatenbank
beacon_cpr,"Rostocker Professorenkatalog",Personendatenbank
beacon_cpl,"Leipziger Professorenkatalog",Personendatenbank
beacon_cpm,"Catalogus Professorum der Universität Mainz",Personendatenbank
beacon_mpo,"Marburger Professorenkatalog online",Personendatenbank
beacon_cprm,"Matrikel der Universität Rostock",Personendatenbank
beacon_hvuz,"Historische Vorlesungsverzeichnisse der Universität Zürich 1833–1900",Personendatenbank
beacon_mabk,"Matrikel der Akademie der Bildenden Künste München",Personendatenbank
beacon_gesa,"Gesamtkatalog deutschsprachiger Leichenpredigten",Personendatenbank
beacon_thulp,"Digitale Edition autobiographischer Texte aus Thüringer Leichenpredigten",Personendatenbank
beacon_fruchtbringer,"Fruchtbringende Gesellschaft",Personendatenbank
beacon_apw,"Acta Pacis Westfalicae",Personendatenbank
beacon_coco,"Controversia et Confessio",Personendatenbank
beacon_mmlo,"Biographisches Lexikon der Münzmeister, Wardeine, Stempelschneider und Medailleure (MMLO)",Personendatenbank
beacon_sandrart,Sandrart.net,Personendatenbank
beacon_kall,"Kalliope Verbundkatalog",Personendatenbank
beacon_zdn,"Zentrale Datenbank Nachlässe",Personendatenbank
