Name,TimeStamp,Latitude,Longitude
Dannenberg, 1595-01-24,53.1,11.1
Dannenberg, 1595-07-14,53.1,11.1
Dannenberg, 1595-07-29,53.1,11.1
Dannenberg, 1595-10-08,53.1,11.1
Clenze, 1595-10-08,52.933333,10.95
Bergen_an_der_Dumme, 1595-10-08,52.883333,10.966667
Deutschhorst, 1595-10-08,52.816667,10.933333
Diesdorf, 1595-10-08,51.75,12.15
Juebar, 1595-10-09,52.7,10.916667
Brome, 1595-10-09,52.6,10.95
Ahnebeck, 1595-10-09,52.533333,10.9
Wolfsburg, 1595-10-09,52.433333,10.8
Flechtorf, 1595-10-09,52.35,10.7
Lehre, 1595-10-09,52.333333,10.666667
Braunschweig, 1595-10-10,52.266667,10.533333
Salder, 1595-10-11,52.133333,10.333333
Gebhardshagen, 1595-10-11,52.1,10.35
Ringelheim, 1595-10-11,52.033333,10.3
Wallmoden, 1595-10-11,52.033333,10.316667
Bad_Lauterberg, 1595-10-12,51.6333,10.4667
Seesen, 1595-10-12,51.75,10.1833
Wollershausen, 1595-10-12,51.6,10.25
Northeim, 1595-10-12,51.7,10
Noerten-Hardenberg, 1595-10-13,,
Hardenberg, 1595-10-13,52.566667,6.616667
Goettingen, 1595-10-13,51.533333,9.933333
Friedland, 1595-10-13,51.416667,9.933333
Wallhausen, 1595-10-13,51.466667,11.2
Bad_Sooden-Allendorf, 1595-10-14,51.283333,9.983333
Berka, 1595-10-14,51.35,10.933333
Marksuhl, 1595-10-15,50.916667,10.2
Bad_Salzungen, 1595-10-15,50.816667,10.233333
Geisa, 1595-10-17,50.716667,9.966667
Fulda, 1595-10-18,50.55,9.666667
, 1595-10-19,,
Schluechtern, 1595-10-19,50.35,9.516667
Steinau_an_der_Strasse, 1595-10-20,50.316667,9.466667
Bad_Soden-Salmuenster, 1595-10-20,50.283333,9.366667
, 1595-10-20,,
Gelnhausen, 1595-10-20,50.2,9.183333
, 1595-10-20,,
Hasselroth, 1595-10-20,50.166667,9.1
Hanau, 1595-10-21,50.133333,8.916667
Frankfurt_am_Main, 1595-10-21,50.116667,8.683333
Arheilgen, 1595-10-22,49.913333,8.65
Darmstadt, 1595-10-23,49.870556,8.649444
Frankenstein, 1595-10-23,,
Bickenbach, 1595-10-23,49.759167,8.6175
Auerbach, 1595-10-23,49.398056,9.223333
Zwingenberg, 1595-10-23,49.726389,8.618611
Bensheim, 1595-10-23,49.680278,8.616111
Weinheim, 1595-10-23,49.548333,8.666111
Ladenburg, 1595-10-24,49.475,8.606944
Heidelberg, 1595-10-24,49.416667,8.7
Speyer, 1595-10-24,49.329722,8.427778
Zeutern_OElberg, 1595-10-25,49.176111,8.674167
Oberhausen-Rheinhausen, 1595-10-27,,
Bruchsal, 1595-10-27,49.128056,8.583611
Heidelsheim, 1595-10-28,49.101111,8.645
Bretten, 1595-10-28,49.039167,8.702778
Maulbronn, 1595-10-28,49.000833,8.807778
Vaihingen_an_der_Enz, 1595-10-28,48.933333,8.966667
Markgroeningen, 1595-10-29,48.9,9.066667
Asperg, 1595-10-29,48.9,9.116667
Wuerttemberg, 1595-10-29,,
Stuttgart, 1595-10-29,48.766667,9.183333
Waldenbuch, 1595-10-31,48.633333,9.133333
Tuebingen, 1595-11-01,48.533333,9.05
