source,target,edgetype
http://d-nb.info/gnd/1051498619,https://d-nb.info/gnd/1033724025,verheiratet mit
http://d-nb.info/gnd/135708745,https://d-nb.info/gnd/103093273,verheiratet mit
http://d-nb.info/gnd/135708745,https://d-nb.info/gnd/1037832671,Elternteil von
https://d-nb.info/gnd/116029676,http://d-nb.info/gnd/128654163,Elternteil von
http://d-nb.info/gnd/118729500,https://d-nb.info/gnd/118613871,verheiratet mit
http://d-nb.info/gnd/118729500,https://d-nb.info/gnd/1017916969,Elternteil von
https://d-nb.info/gnd/11870320X,http://d-nb.info/gnd/104279699,Elternteil von
https://d-nb.info/gnd/123420318,http://d-nb.info/gnd/104279699,Elternteil von
http://d-nb.info/gnd/104279699,https://d-nb.info/gnd/116279052,Elternteil von
http://d-nb.info/gnd/104279699,https://d-nb.info/gnd/118014021,Elternteil von
http://d-nb.info/gnd/104279699,https://d-nb.info/gnd/123282683,Elternteil von
http://d-nb.info/gnd/1047020025,https://d-nb.info/gnd/1047020297,verheiratet mit
http://d-nb.info/gnd/1047020297,https://d-nb.info/gnd/1047020025,verheiratet mit
http://d-nb.info/gnd/1055276238,https://d-nb.info/gnd/11624173X,Elternteil von
https://d-nb.info/gnd/118501844,http://d-nb.info/gnd/118513559,Elternteil von
https://d-nb.info/gnd/119548798,http://d-nb.info/gnd/118513559,Elternteil von
http://d-nb.info/gnd/1011862034,https://d-nb.info/gnd/102781982,Elternteil von
http://d-nb.info/gnd/1011862034,https://d-nb.info/gnd/103150021,Elternteil von
http://d-nb.info/gnd/1011862034,https://d-nb.info/gnd/104134674,Elternteil von
https://d-nb.info/gnd/1011862034,https://d-nb.info/gnd/102781982,Elternteil von
https://d-nb.info/gnd/119544687,https://d-nb.info/gnd/11899610X,verheiratet mit
https://d-nb.info/gnd/119544687,https://d-nb.info/gnd/118729438,Elternteil von
https://d-nb.info/gnd/11853596X,https://d-nb.info/gnd/118535730,Elternteil von
https://d-nb.info/gnd/118535730,https://d-nb.info/gnd/118535978,Elternteil von
https://d-nb.info/gnd/118535730,https://d-nb.info/gnd/12007656X,Elternteil von
https://d-nb.info/gnd/118535730,https://d-nb.info/gnd/123149924,Elternteil von
https://d-nb.info/gnd/101052677,http://d-nb.info/gnd/118751530,Elternteil von
https://d-nb.info/gnd/118751522,http://d-nb.info/gnd/118751530,Elternteil von
http://d-nb.info/gnd/118751530,https://d-nb.info/gnd/118535730,verheiratet mit
http://d-nb.info/gnd/118751530,https://d-nb.info/gnd/118535978,Elternteil von
http://d-nb.info/gnd/118751530,https://d-nb.info/gnd/12007656X,Elternteil von
https://d-nb.info/gnd/118538535,http://d-nb.info/gnd/118798022,Elternteil von
http://d-nb.info/gnd/118798022,https://d-nb.info/gnd/118633112,Elternteil von
http://d-nb.info/gnd/118798022,https://d-nb.info/gnd/118535749,Elternteil von
http://d-nb.info/gnd/118798022,https://d-nb.info/gnd/102017077,Elternteil von
https://d-nb.info/gnd/104130881,https://d-nb.info/gnd/118958429,Elternteil von
https://d-nb.info/gnd/104130881,http://d-nb.info/gnd/102030065,Elternteil von
http://d-nb.info/gnd/102030065,https://d-nb.info/gnd/123498570,verheiratet mit
http://d-nb.info/gnd/102030065,https://d-nb.info/gnd/118818252,Elternteil von
https://d-nb.info/gnd/120862239,https://d-nb.info/gnd/100123910,Elternteil von
https://d-nb.info/gnd/100123910,https://d-nb.info/gnd/119337630,Elternteil von
http://d-nb.info/gnd/11887036X,https://d-nb.info/gnd/118538543,verheiratet mit
http://d-nb.info/gnd/11887036X,https://d-nb.info/gnd/101335740X,Elternteil von
