source;target
lippe-brake_georg;1701-01-26
braunschweig-wolfenbuettel_august_wilhelm;1701-01-26
wasenaer-obdam_jacob_ii;1701-01-26
wasenaer-obdam_johan_henrik;1701-01-26
probst_philipp_ludwig;1701-01-26
imhoff_anton_albrecht;1701-01-26
bosse_joachim_friedrich;1701-01-26
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-01-26
bosse_maria_elisabeth;1701-01-26
matthaei_johann_joachim;1701-01-26
wasenaer-obdam_jacob_ii;1701-01-26
bonnac_jean_louis;1701-01-24
braunschweig-wolfenbuettel_anton_ulrich;1701-01-24
braunschweig-wolfenbuettel_elisabeth_juliane;1701-01-24
braunschweig-wolfenbuettel_august_wilhelm;1701-01-24
braunschweig-wolfenbuettel_sophia_amalia;1701-01-24
braunschweig-wolfenbuettel_christine_luise;1701-01-24
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-01-24
wasenaer-obdam_jacob_ii;1701-01-24
bodavin_anon_1;1701-01-24
polen_august_ii;1701-01-24
sachsen-meiningen_eleonora_friederike;1701-01-24
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-01-24
bonnac_jean_louis;1701-01-24
braunschweig-wolfenbuettel_anton_ulrich;1701-01-24
hohenzollern-sigmaringen_maria_clara;1701-01-24
bennigsen_levin_adolf;1701-01-06
bobart_justine_dorothea;1701-01-06
braunschweig-wolfenbuettel_anton_ulrich;1701-01-06
wasenaer-obdam_johan_henrik;1701-01-06
bonnac_jean_louis;1701-01-24
schwartzkoppen_burchard;1701-01-24
braunschweig-wolfenbuettel_august_wilhelm;1701-01-24
sachsen-meiningen_eleonora_friederike;1701-01-24
bonnac_jean_louis;1701-01-26
seydlitz_anon_1;1701-01-26
gersdorff_anon_1;1701-01-26
busch_anon_1;1701-01-26
bosse_joachim_friedrich;1701-01-26
prigge_hans_georg;1701-01-29
stockhausen_justus_hermann;1701-01-29
knorr-rosenroth_johann_christian;1701-01-30
braunschweig-wolfenbuettel_anton_ulrich;1701-01-30
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-01-30
wasenaer-obdam_jacob_ii;1701-01-30
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-02-01
prigge_hans_georg;1701-02-02
pollich_johann_wolfgang;1701-02-03
braunschweig-wolfenbuettel_rudolph_august;1701-02-03
schleswig-holstein-sonderburg-ploen_adolf_august;1701-02-03
bernstorff_hans_valentin;1701-02-03
heringen_georg_albrecht;1701-02-03
spanien_philipp_v;1701-02-03
demay_marie_juliane;1701-02-03
polen_august_ii;1701-02-03
wagner_anon_1;1701-02-04
pape_bernhard;1701-02-04
pape_anon_1;1701-02-04
schwartzkoppen_burchard;1701-02-05
