source;target;manuscript
castell-remlingen_friedrich_magnus;1698-03-17;Cod. Guelf. 211.1 Extrav.
castell-remlingen_friedrich_magnus;1698-03-19;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-03-27;Cod. Guelf. 211.1 Extrav.
castell-remlingen_friedrich_magnus;1698-03-30;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-04-01;Cod. Guelf. 211.1 Extrav.
castell-remlingen_friedrich_magnus;1698-04-02;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-02;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-06;Cod. Guelf. 211.1 Extrav.
oettingen-wallerstein_wolfgang_iv;1698-04-11;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-04-13;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-04-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-04-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-04-15;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-17;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-18;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-18;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-19;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-20;Cod. Guelf. 211.1 Extrav.
castell-remlingen_friedrich_magnus;1698-04-22;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-26;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-27;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-28;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-04-29;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-01;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-05-01;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-02;Cod. Guelf. 211.1 Extrav.
schenk-stauffenberg_johann_friedrich;1698-05-02;Cod. Guelf. 211.1 Extrav.
eltz_josias;1698-05-02;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-03;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-04;Cod. Guelf. 211.1 Extrav.
hohenlohe-langenburg_heinrich_friedrich;1698-05-10;Cod. Guelf. 211.1 Extrav.
hohenlohe-langenburg_albrecht_wolfgang;1698-05-10;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-15;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-16;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-19;Cod. Guelf. 211.1 Extrav.
seckendorff_christoph_sigmund;1698-05-23;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-23;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-05-23;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-05-23;Cod. Guelf. 211.1 Extrav.
brandenburg-ansbach_georg_friedrich_ii;1698-05-23;Cod. Guelf. 211.1 Extrav.
hohenlohe-langenburg_heinrich_friedrich;1698-05-23;Cod. Guelf. 211.1 Extrav.
hohenlohe-langenburg_albrecht_wolfgang;1698-05-23;Cod. Guelf. 211.1 Extrav.
wolfstein_christian_albert;1698-05-23;Cod. Guelf. 211.1 Extrav.
oettingen-spielberg_franz_albrecht;1698-05-24;Cod. Guelf. 211.1 Extrav.
castell-remlingen_friedrich_magnus;1698-05-24;Cod. Guelf. 211.1 Extrav.
wolfskeel_johann_philipp;1698-05-25;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-05-25;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-26;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-05-26;Cod. Guelf. 211.1 Extrav.
oettingen-wallerstein_eberhardine_sophie_juliane;1698-05-27;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-28;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-05-28;Cod. Guelf. 211.1 Extrav.
hessen-darmstadt-itter_eleonora_sophia;1698-05-28;Cod. Guelf. 211.1 Extrav.
hessen-darmstadt-itter_magdalena_sibylla;1698-05-28;Cod. Guelf. 211.1 Extrav.
brandenburg-ansbach_georg_friedrich_ii;1698-05-28;Cod. Guelf. 211.1 Extrav.
brandenburg-ansbach_georg_friedrich_ii;1698-05-29;Cod. Guelf. 211.1 Extrav.
brandenburg-bayreuth_christian_ernst;1698-05-29;Cod. Guelf. 211.1 Extrav.
schoenborn_lothar_franz;1698-05-30;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-05-30;Cod. Guelf. 211.1 Extrav.
fersen_anon_1;1698-05-31;Cod. Guelf. 211.1 Extrav.
surville_anon_1;1698-05-31;Cod. Guelf. 211.1 Extrav.
schoenborn_lothar_franz;1698-06-01;Cod. Guelf. 211.1 Extrav.
sachsen-hildburghausen_ernst;1698-06-01;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-02;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-03;Cod. Guelf. 211.1 Extrav.
sachsen-weimar_johann_ernst_iii;1698-06-03;Cod. Guelf. 211.1 Extrav.
sachsen-zeitz_moritz_wilhelm;1698-06-03;Cod. Guelf. 211.1 Extrav.
sachsen-gotha-altenburg_friedrich_ii;1698-06-04;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-05;Cod. Guelf. 211.1 Extrav.
rathsamhausen_anon_1;1698-06-07;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-07;Cod. Guelf. 211.1 Extrav.
werthern_familie;1698-06-07;Cod. Guelf. 211.1 Extrav.
sachsen-weissenfels_johann_georg;1698-06-08;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-08;Cod. Guelf. 211.1 Extrav.
mansfeld_familie;1698-06-08;Cod. Guelf. 211.1 Extrav.
sachsen_haus;1698-06-09;Cod. Guelf. 211.1 Extrav.
brandenburg_haus;1698-06-09;Cod. Guelf. 211.1 Extrav.
schwarzburg-sondershausen_auguste_dorothea;1698-06-11;Cod. Guelf. 211.1 Extrav.
hohenlohe-oehringen_sophia_eleonora;1698-06-11;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-15;Cod. Guelf. 211.1 Extrav.
molière_jean-baptiste_poquelin;1698-06-18;Cod. Guelf. 211.1 Extrav.
bressand_friedrich_christian;1698-06-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-19;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-06-21;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-22;Cod. Guelf. 211.1 Extrav.
wagner_burchardt;1698-06-22;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-06-25;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-06-25;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-25;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-28;Cod. Guelf. 211.1 Extrav.
