id;label;type
castell-remlingen_friedrich_magnus;castell-remlingen_friedrich_magnus;person
castell-remlingen_friedrich_magnus;castell-remlingen_friedrich_magnus;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
castell-remlingen_friedrich_magnus;castell-remlingen_friedrich_magnus;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
castell-remlingen_friedrich_magnus;castell-remlingen_friedrich_magnus;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-wallerstein_wolfgang_iv;oettingen-wallerstein_wolfgang_iv;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
castell-remlingen_friedrich_magnus;castell-remlingen_friedrich_magnus;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
schenk-stauffenberg_johann_friedrich;schenk-stauffenberg_johann_friedrich;person
eltz_josias;eltz_josias;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
hohenlohe-langenburg_heinrich_friedrich;hohenlohe-langenburg_heinrich_friedrich;person
hohenlohe-langenburg_albrecht_wolfgang;hohenlohe-langenburg_albrecht_wolfgang;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
